Product Name,Month,amazon,flipkart,croma
Apple iPhone 11,January,0,43900,0
Apple iPhone 11,February,0,43900,0
Apple iPhone 11,March,0,43900,0
Apple iPhone 11,April,0,43900,0
Apple iPhone 11 (128GB),January,0,48900,0
Apple iPhone 11 (128GB),February,0,48900,0
Apple iPhone 11 (128GB),March,0,48900,0
Apple iPhone 11 (128GB),April,0,48900,0
Apple iPhone 11 Pro Max,January,0,109900,0
Apple iPhone 11 Pro Max,February,0,109900,0
Apple iPhone 11 Pro Max,March,0,109900,0
Apple iPhone 11 Pro Max,April,0,109900,0
Apple iPhone 12,January,48999,44999,0
Apple iPhone 12,February,48999,44999,0
Apple iPhone 12,March,0,44999,0
Apple iPhone 12,April,0,42999,0
Apple iPhone 12 (128GB),January,0,50999,0
Apple iPhone 12 (128GB),February,0,50999,0
Apple iPhone 12 (128GB),March,0,50999,0
Apple iPhone 12 (128GB),April,0,50999,0
Apple iPhone 12 (256GB),January,54899,63999,0
Apple iPhone 12 (256GB),February,54899,63999,0
Apple iPhone 12 (256GB),March,0,63999,0
Apple iPhone 12 (256GB),April,54899,63999,0
Apple iPhone 12 Mini,January,0,59900,0
Apple iPhone 12 Mini,February,0,59900,0
Apple iPhone 12 Mini,March,0,59900,0
Apple iPhone 12 Mini,April,0,59900,0
Apple iPhone 12 Mini (128GB),January,0,64900,0
Apple iPhone 12 Mini (128GB),February,0,64900,0
Apple iPhone 12 Pro,January,0,109900,0
Apple iPhone 12 Pro,February,0,109900,0
Apple iPhone 12 Pro,March,0,109900,0
Apple iPhone 12 Pro (256GB),February,0,119900,0
Apple iPhone 12 Pro Max,January,0,119900,0
Apple iPhone 12 Pro Max,February,0,119900,0
Apple iPhone 12 Pro Max,March,0,119900,0
Apple iPhone 12 Pro Max,April,0,119900,0
Apple iPhone 13,January,51499,52999,52990
Apple iPhone 13,February,51499,52999,51790
Apple iPhone 13,March,51499,52999,52090
Apple iPhone 13,April,51499,52999,52990
Apple iPhone 13 (256GB),January,62999,62999,62990
Apple iPhone 13 (256GB),February,62999,0,62990
Apple iPhone 13 (256GB),March,62999,62999,62990
Apple iPhone 13 (256GB),April,60999,0,62490
Apple iPhone 13 (512GB),January,0,82999,0
Apple iPhone 13 (512GB),February,69999,82999,0
Apple iPhone 13 (512GB),March,82999,82999,0
Apple iPhone 13 (512GB),April,82999,82999,0
Apple iPhone 13 Pro (1TB),January,0,169900,0
Apple iPhone 13 Pro (1TB),March,0,169900,0
Apple iPhone 13 Pro Max (1TB),January,0,179900,0
Apple iPhone 13 Pro Max (1TB),February,0,179900,0
Apple iPhone 13 Pro Max (1TB),March,0,179900,0
Apple iPhone 13 Pro Max (1TB),April,0,179900,0
Apple iPhone 13 Pro Max (512GB),January,0,159900,0
Apple iPhone 13 Pro Max (512GB),February,0,159900,0
Apple iPhone 14,January,0,56999,62990
Apple iPhone 14,February,0,56999,54994
Apple iPhone 14,March,61999,57999,61990
Apple iPhone 14,April,61999,58999,61990
Apple iPhone 14 (256GB),January,71999,66999,72990
Apple iPhone 14 (256GB),February,0,66999,72990
Apple iPhone 14 (256GB),March,0,68999,71990
Apple iPhone 14 (256GB),April,0,68999,71990
Apple iPhone 14 (512GB),January,90990,87999,74990
Apple iPhone 14 (512GB),February,92999,86999,0
Apple iPhone 14 (512GB),March,90990,87999,0
Apple iPhone 14 (512GB),April,90990,88999,0
Apple iPhone 14 Plus,January,71999,65999,71490
Apple iPhone 14 Plus,February,71999,66999,70994
Apple iPhone 14 Plus,March,71999,65999,71090
Apple iPhone 14 Plus,April,0,66999,0
Apple iPhone 14 Plus (256GB),January,81999,0,0
Apple iPhone 14 Plus (256GB),February,81999,0,0
Apple iPhone 14 Plus (256GB),March,81999,75999,0
Apple iPhone 14 Plus (512GB),January,99990,0,0
Apple iPhone 14 Plus (512GB),February,99990,0,0
Apple iPhone 14 Plus (512GB),March,99990,95999,0
Apple iPhone 14 Plus (512GB),April,99990,96999,0
Apple iPhone 14 Pro Max (1TB),January,177999,0,0
Apple iPhone 14 Pro Max (1TB),February,177999,0,0
Apple iPhone 15,January,0,65999,71490
Apple iPhone 15,February,71490,70999,71490
Apple iPhone 15,March,71490,66999,71290
Apple iPhone 15,April,71490,72999,72690
