Product Name,month,flipkart,amazon,croma,samsung
Samsung Galaxy A04,January,11999,11999,10980,8999
Samsung Galaxy A04,February,11999,10999,10490,10999
Samsung Galaxy A04,March,11999,10999,11999,10999
Samsung Galaxy A04,April,11000,9999,9799,11999
Samsung Galaxy A05,January,9999,9928,9999,9390
Samsung Galaxy A05,February,9899,9869,9999,9299
Samsung Galaxy A05,March,8979,7999,8699,8699
Samsung Galaxy A05,April,8990,8699,8699,7999
Samsung Galaxy A05 (6GB RAM + 128GB),January,12499,12299,12499,11299
Samsung Galaxy A05 (6GB RAM + 128GB),February,11990,12390,12499,12499
Samsung Galaxy A05 (6GB RAM + 128GB),March,10999,10299,10450,10500
Samsung Galaxy A05 (6GB RAM + 128GB),April,11149,10999,10999,12135
Samsung Galaxy A05s,January,14480,12254,12999,14499
Samsung Galaxy A05s,February,12790,14800,11632,12999
Samsung Galaxy A05s,March,12870,11632,12999,11960
Samsung Galaxy A05s,April,12999,12499,12790,9999
Samsung Galaxy A05s (4GB RAM + 128GB),January,11499,11390,11499,13390
Samsung Galaxy A05s (4GB RAM + 128GB),February,10590,12400,11499,10829
Samsung Galaxy A05s (4GB RAM + 128GB),March,11499,10590,11499,11499
Samsung Galaxy A05s (4GB RAM + 128GB),April,11449,10990,11499,8499
Samsung Galaxy A14 4G,January,12999,12490,12999,12999
Samsung Galaxy A14 4G,February,11999,11000,9099,11999
Samsung Galaxy A14 4G,March,10999,9099,9099,7279
Samsung Galaxy A14 4G,April,10399,10999,9099,11500
Samsung Galaxy A14 4G (4GB RAM + 128 GB),January,13999,12919,16999,13999
Samsung Galaxy A14 4G (4GB RAM + 128 GB),February,14999,9799,12919,12999
Samsung Galaxy A14 4G (4GB RAM + 128 GB),March,14999,12900,10999,17999
Samsung Galaxy A14 4G (4GB RAM + 128 GB),April,14500,9799,9799,14500
Samsung Galaxy A14 5G,January,14499,14498,14499,13899
Samsung Galaxy A14 5G,February,12373,13499,11599,13499
Samsung Galaxy A14 5G,March,11599,12370,13499,11599
Samsung Galaxy A14 5G,April,13499,12499,12357,13499
Samsung Galaxy A14 5G (4GB RAM + 128GB),January,15499,15499,15499,14499
Samsung Galaxy A14 5G (4GB RAM + 128GB),February,14499,15344,14499,14499
Samsung Galaxy A14 5G (4GB RAM + 128GB),March,13490,14449,14499,14499
Samsung Galaxy A14 5G (4GB RAM + 128GB),April,14480,13990,14499,14499
Samsung Galaxy A14 5G (6GB RAM + 128GB),January,16999,16989,16999,15990
Samsung Galaxy A14 5G (6GB RAM + 128GB),February,16999,15999,15999,13699
Samsung Galaxy A14 5G (6GB RAM + 128GB),March,15999,14990,14990,15999
Samsung Galaxy A14 5G (6GB RAM + 128GB),April,15999,14886,15999,12799
Samsung Galaxy A14 5G (8GB RAM + 128GB),January,18999,18499,16999,15000
Samsung Galaxy A14 5G (8GB RAM + 128GB),February,18899,17999,13599,17999
Samsung Galaxy A14 5G (8GB RAM + 128GB),March,17999,17999,13599,13600
Samsung Galaxy A14 5G (8GB RAM + 128GB),April,17999,17999,13599,13599
Samsung Galaxy A15 5G,January,19499,19390,19499,19390
Samsung Galaxy A15 5G,February,19499,19100,19499,19499
Samsung Galaxy A15 5G,March,19499,19499,19499,19499
Samsung Galaxy A15 5G,April,19499,19499,19499,18798
Samsung Galaxy A15 5G (8GB RAM + 256GB),January,22499,22390,22499,25000
Samsung Galaxy A15 5G (8GB RAM + 256GB),February,22499,22280,22499,22499
Samsung Galaxy A15 5G (8GB RAM + 256GB),March,22499,22499,22499,22499
Samsung Galaxy A15 5G (8GB RAM + 256GB),April,20000,21000,22999,22499
Samsung Galaxy A25 5G,January,26999,26890,26999,20000
Samsung Galaxy A25 5G,February,26999,26729,26999,26999
Samsung Galaxy A25 5G,March,26999,26999,26999,26999
Samsung Galaxy A25 5G,April,26999,26999,26999,25000
Samsung Galaxy A25 5G (8GB RAM + 256GB),January,29999,29890,29999,24499
Samsung Galaxy A25 5G (8GB RAM + 256GB),February,29900,29890,29999,29999
Samsung Galaxy A25 5G (8GB RAM + 256GB),March,30900,25000,29999,29999
Samsung Galaxy A25 5G (8GB RAM + 256GB),April,29999,29999,29999,25000
Samsung Galaxy A34 5G (8GB RAM + 128GB),January,27499,24990,27499,24990
Samsung Galaxy A34 5G (8GB RAM + 128GB),February,24499,26990,24499,24499
Samsung Galaxy A34 5G (8GB RAM + 128GB),March,24499,24499,23995,24499
Samsung Galaxy A34 5G (8GB RAM + 128GB),April,24499,24499,24499,23995
Samsung Galaxy A34 5G (8GB RAM + 256GB),January,29499,29499,29499,25000
Samsung Galaxy A34 5G (8GB RAM + 256GB),February,26499,26499,26499,29499
Samsung Galaxy A34 5G (8GB RAM + 256GB),March,26499,26499,26499,25000
Samsung Galaxy A34 5G (8GB RAM + 256GB),April,26499,26499,26499,26499
Samsung Galaxy A54 5G,January,35499,35390,35499,32499
Samsung Galaxy A54 5G,February,35499,35499,35499,35499
Samsung Galaxy A54 5G,March,33499,33499,33499,33499
Samsung Galaxy A54 5G,April,33499,33499,31499,35499
Samsung Galaxy A54 5G (8GB RAM + 256GB),January,37499,37499,37499,35000
Samsung Galaxy A54 5G (8GB RAM + 256GB),February,37499,37490,37499,37499
Samsung Galaxy A54 5G (8GB RAM + 256GB),March,35499,35499,35499,35499
Samsung Galaxy A54 5G (8GB RAM + 256GB),April,35499,35499,33499,37499
Samsung Galaxy S20 FE 5G,January,47999,28990,27880,26800
Samsung Galaxy S20 FE 5G,February,27290,27500,47999,47999
Samsung Galaxy S20 FE 5G,March,26674,26999,25450,47999
Samsung Galaxy S20 FE 5G,April,27490,26499,30998,47999
Samsung Galaxy S21 FE (Snapdragon),January,33999,33505,41999,39700
Samsung Galaxy S21 FE (Snapdragon),February,33999,32650,33644,33999
Samsung Galaxy S21 FE (Snapdragon),March,31999,36899,32990,33785
Samsung Galaxy S21 FE (Snapdragon),April,33999,33999,32100,39999
Samsung Galaxy S21 FE 5G,January,33989,31837,33990,30499
Samsung Galaxy S21 FE 5G,February,32999,31489,34990,24994
Samsung Galaxy S21 FE 5G,March,32999,31999,30673,29899
Samsung Galaxy S21 FE 5G,April,39999,32990,32998,31500
Samsung Galaxy S21 Plus,January,44999,48980,45999,42999
Samsung Galaxy S21 Plus,February,48980,44999,49000,49000
Samsung Galaxy S21 Plus,March,42999,49000,45280,45740
Samsung Galaxy S21 Plus,April,49000,44999,49000,49000
Samsung Galaxy S22 5G,January,62999,39900,72999,35999
Samsung Galaxy S22 5G,February,39999,39300,54999,62999
Samsung Galaxy S22 5G,March,39999,37900,39050,62999
Samsung Galaxy S22 5G,April,39999,36550,32725,39900
Samsung Galaxy S23 (8GB RAM + 256GB),January,69999,58750,69999,59990
Samsung Galaxy S23 (8GB RAM + 256GB),February,62399,59999,64999,58850
Samsung Galaxy S23 (8GB RAM + 256GB),March,59430,58720,68899,62899
Samsung Galaxy S23 (8GB RAM + 256GB),April,69999,58120,69999,69999
Samsung Galaxy S23 5G,January,64999,54999,64999,69990
Samsung Galaxy S23 5G,February,64999,64999,64999,64999
Samsung Galaxy S23 5G,March,69990,57900,64999,64999
Samsung Galaxy S23 5G,April,64999,64999,53999,64999
Samsung Galaxy S23 FE 5G,January,54999,47266,54999,40150
Samsung Galaxy S23 FE 5G,February,54999,46450,54999,54999
Samsung Galaxy S23 FE 5G,March,41999,41530,49999,49999
Samsung Galaxy S23 FE 5G,April,54999,42500,54999,54999
Samsung Galaxy S23 FE 5G (8GB RAM + 256GB),January,59999,51999,59999,49990
Samsung Galaxy S23 FE 5G (8GB RAM + 256GB),February,59999,51999,59999,59999
Samsung Galaxy S23 FE 5G (8GB RAM + 256GB),March,46999,45700,54999,54999
Samsung Galaxy S23 FE 5G (8GB RAM + 256GB),April,59999,58999,59999,59999
Samsung Galaxy S23 Ultra (12GB RAM + 512GB),January,134999,116999,134999,114899
Samsung Galaxy S23 Ultra (12GB RAM + 512GB),February,119999,104999,119999,119999
Samsung Galaxy S23 Ultra (12GB RAM + 512GB),March,119999,103989,119999,119999
Samsung Galaxy S23 Ultra (12GB RAM + 512GB),April,99999,102899,102899,107790
Samsung Galaxy S23 Ultra 5G,January,124999,115999,124999,89990
Samsung Galaxy S23 Ultra 5G,February,99999,97999,109999,109999
Samsung Galaxy S23 Ultra 5G,March,99999,96999,109990,109999
Samsung Galaxy S23 Ultra 5G,April,109999,93500,115999,109999
Samsung Galaxy S24 (8GB RAM + 512GB),January,89999,81990,89999,89999
Samsung Galaxy S24 (8GB RAM + 512GB),February,83000,79479,82000,89999
Samsung Galaxy S24 (8GB RAM + 512GB),March,89999,74990,89999,81900
Samsung Galaxy S24 (8GB RAM + 512GB),April,87999,89999,87999,89999
Samsung Galaxy S24 5G,January,79999,75799,79999,69899
Samsung Galaxy S24 5G,February,75999,72200,79999,77999
Samsung Galaxy S24 5G,March,79999,79999,66045,75799
Samsung Galaxy S24 5G,April,74999,73999,79999,79999
Samsung Galaxy S24 Plus,January,99999,99999,99999,89999
Samsung Galaxy S24 Plus,February,99999,89999,99999,99999
Samsung Galaxy S24 Plus,March,89999,99999,99999,99999
Samsung Galaxy S24 Plus,April,99999,99999,99999,89999
Samsung Galaxy S24 Plus (12GB RAM + 512GB),January,109999,100900,109999,105000
Samsung Galaxy S24 Plus (12GB RAM + 512GB),February,109999,107900,109999,107900
Samsung Galaxy S24 Plus (12GB RAM + 512GB),March,109999,105000,109999,109999
Samsung Galaxy S24 Plus (12GB RAM + 512GB),April,109999,109999,109999,109999
Samsung Galaxy S24 Ultra,January,129999,119899,125999,107000
Samsung Galaxy S24 Ultra,February,129999,117499,129999,129999
Samsung Galaxy S24 Ultra,March,129999,129999,118679,117999
Samsung Galaxy S24 Ultra,April,111900,119500,129999,129999
Samsung Galaxy S24 Ultra (12GB RAM + 512GB),January,139999,129999,139999,12000
Samsung Galaxy S24 Ultra (12GB RAM + 512GB),February,139999,128832,139999,139999
Samsung Galaxy S24 Ultra (12GB RAM + 512GB),March,139999,139999,139999,139999
Samsung Galaxy S24 Ultra (12GB RAM + 512GB),April,139999,139999,139999,139999
Samsung Galaxy Z Flip 4 5G,January,89999,54950,58499,52990
Samsung Galaxy Z Flip 4 5G,February,64899,59999,52990,89999
Samsung Galaxy Z Flip 4 5G,March,101999,78999,55999,40949
Samsung Galaxy Z Flip 4 5G,April,89999,63990,64999,89999
Samsung Galaxy Z Flip 5,January,99999,99999,99999,97999
Samsung Galaxy Z Flip 5,February,99899,99999,99999,99999
Samsung Galaxy Z Flip 5,March,94900,92000,99999,89999
Samsung Galaxy Z Flip 5,April,91899,94999,91899,99999
Samsung Galaxy Z Flip 5 (8GB RAM + 512GB),January,109999,109999,109999,96999
Samsung Galaxy Z Flip 5 (8GB RAM + 512GB),February,109999,109999,109999,109999
Samsung Galaxy Z Flip 5 (8GB RAM + 512GB),March,109999,97999,101499,101499
Samsung Galaxy Z Flip 5 (8GB RAM + 512GB),April,97999,109999,109999,109999
Samsung Galaxy Z Fold 4,January,154999,114990,139999,111999
Samsung Galaxy Z Fold 4,February,123000,109990,124999,154999
Samsung Galaxy Z Fold 4,March,134999,114999,128249,99999
Samsung Galaxy Z Fold 4,April,128249,99999,106999,177999
Samsung Galaxy Z Fold 5,January,154999,154000,154999,154000
Samsung Galaxy Z Fold 5,February,154999,154999,154000,134999
Samsung Galaxy Z Fold 5,March,154999,144999,154999,154999
Samsung Galaxy Z Fold 5,April,129999,154999,154999,154999
Samsung Galaxy Z Fold 5 (12GB RAM + 512GB),January,164999,164999,164999,164999
Samsung Galaxy Z Fold 5 (12GB RAM + 512GB),February,164999,164999,164999,164999
Samsung Galaxy Z Fold 5 (12GB RAM + 512GB),March,164999,149999,164999,164999
Samsung Galaxy Z Fold 5 (12GB RAM + 512GB),April,164999,154999,164999,159899
